Голубой (русская голубая)
Черный
Белый
Рыжий
Серебристый
Серый (дымчатый)
Шоколадный
Кремовый
Шиншилловый
Черепаховый (триколор)
Табби (полосатый)
Биколор (двухцветный)
Пойнт (сиамский окрас)
Калико (трехцветный)
Черный дым
Голубой дым
Рыжий табби
Мраморный табби
Серый табби
Тикированный табби
Шоколадный табби
Золотой табби
Блю-пойнт
Лиловый
Лиловый табби
Лиловый биколор
Рыже-белый
Тигровый (полосатый)
Пятнистый
Рыжий мраморный
Серый мраморный
Фавн (бежевый)
Бело-черный
Рыже-белый табби
Кремовый табби
Лилово-кремовый
Золотистый
Коричнево-черный
Серо-белый
Бело-серый
Рыжий с белым
Бело-рыжий
Темно-коричневый
Бело-коричневый
Золотисто-черный
Снежный
Шоколадный биколор
Красный
Абиссинский
Розетчатый
