Британская короткошерстная
Шотландская вислоухая (Скоттиш-фолд)
Мейн-кун
Сибирская кошка
Русская голубая
Персидская кошка
Абиссинская кошка
Бенгальская кошка
Рэгдолл
Сиамская кошка
Донской сфинкс
Канадский сфинкс
Курильский бобтейл
Невская маскарадная
Экзотическая короткошерстная
Ориентальная кошка
Бурманская кошка
Американская короткошерстная
Бомбейская кошка
Турецкая ангора
Оцикет
Египетская мау
ЛаПерм
Сингапурская кошка
Девон-рекс
Корниш-рекс
Бирманская кошка
Ангорская кошка
Норвежская лесная кошка
Бурмилла
Селкирк-рекс
Ликои
Сноу-шу
Тойгер
Петерболд
Манчкин
Картезианская кошка (Шартрез)
Балинез
Саванна
Пиксибоб
Рагамаффин
Сомалийская кошка
Йоркская шоколадная кошка
Минскин
Хайленд-фолд
Меконгский бобтейл
Серенгети
Европейская короткошерстная
Кимрик
Нибелунг
